Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
PIK3CA	KERATOSIS, SEBORRHEIC | COLORECTAL CANCER; CRC | OVARIAN CANCER | BREAST CANCER | NEVUS, EPIDERMAL | HEPATOCELLULAR CARCINOMA | CAPILLARY MALFORMATION OF THE LOWER LIP, LYMPHATIC MALFORMATION OF FACE AND NECK, ASYMMETRY OF FACE AND LIMBS, AND PARTIAL/GENERALIZED OVERGROWTH | CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMAL NEVI | LUNG CANCER | MACRODACTYLY | MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP	Somatic, Somatic mutation, Somatic mosaic, AD	skinNailsHairSkin, skeletalSkull, growthOther, genitourinaryKidneys, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, neoplasia, laboratoryAbnormalities, respiratoryLung, abdomenLiver, skeletalLimbs, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, cardiovascularHeart, headAndNeckHead, skeletalSpine, muscleSoftTissue, skinNailsHairHair, headAndNeckEyes
SPR	DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, headAndNeckEyes
SLC28A1	URIDINE-CYTIDINEURIA; URCTU	AR	
PRNP	SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES | FATAL FAMILIAL INSOMNIA; FFI | HUNTINGTON DISEASE-LIKE 1; HDL1 | CREUTZFELDT-JAKOB DISEASE; CJD | GERSTMANN-STRAUSSLER DISEASE; GSD | KURU, SUSCEPTIBILITY TO	'Slow virus' etiology with  genetic factors, AD	skinNailsHairSkin, headAndNeckFace, neurologicCentralNervousSystem, growthWeight, abdomenGastrointestinal, neurologicPeripheralNervousSystem, genitourinaryBladder, respiratory, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, metabolicFeatures
DUP17q23.1q23.2	CHROMOSOME 17q23.1-q23.2 DUPLICATION SYNDROME	AD	skeletalFeet, skinNailsHairHair, skeletalPelvis, skinNailsHairNails
PPNAD4	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4; PPNAD4	AD	skinNailsHairSkin, cardiovascularVascular, growthWeight, skeletal, headAndNeckFace, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, endocrineFeatures
CEP164	NEPHRONOPHTHISIS 15; NPHP15	AR	genitourinaryKidneys, abdomenLiver, neurologicCentralNervousSystem, skeletalHands, growthWeight, headAndNeckEyes
ZSWIM6	ACROMELIC FRONTONASAL DYSOSTOSIS; AFND | NEURODEVELOPMENTAL DISORDER WITH MOVEMENT ABNORMALITIES, ABNORMAL GAIT, AND AUTISTIC FEATURES; NEDMAGA	AD	skinNailsHairSkin, skeletalSkull, growthOther, headAndNeckHead, abdomenGastrointestinal, skeletalFeet, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, skinNailsHairNails, neurologicCentralNervousSystem, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, muscleSoftTissue, respiratoryAirways
CRBN	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 2; MRT2	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem
SPTLC2	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC; HSAN1C	AD	skinNailsHairSkin, skeletalFeet, skeletalHands, neurologicPeripheralNervousSystem
ZC3H14	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 56; MRT56	AR	neurologicCentralNervousSystem
SPTLC1	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A	AD	skinNailsHairSkin, skeletalFeet, headAndNeckEars, skeletalHands, neurologicPeripheralNervousSystem
IRX5	HAMAMY SYNDROME; HMMS	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, hematology, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, voice, skeletalLimbs, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, skinNailsHairHair
GRIN1	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT; NDHMSD | NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL RECESSIVE; NDHMSR	AR, AD	neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckFace, headAndNeckEyes, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
HSPA9	EVEN-PLUS SYNDROME; EVPLS | ANEMIA, SIDEROBLASTIC, 4; SIDBA4	Autosomal dominant (another allele in trans may be required), AR	skinNailsHairSkin, skeletalSkull, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, growthHeight, hematology, headAndNeckFace, headAndNeckNose, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, genitourinaryKidneys, neurologicCentralNervousSystem, headAndNeckMouth, headAndNeckTeeth, genitourinaryBladder, cardiovascularHeart, genitourinaryUreters, skeletalSpine, skinNailsHairHair
C2CD3	OROFACIODIGITAL SYNDROME XIV; OFD14	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckFace, skeletalHands, headAndNeckEyes, neurologicCentralNervousSystem, cardiovascularVascular, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart
C13	ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9	AR	skinNailsHairHair, skinNailsHairNails
IQCB1	SENIOR-LOKEN SYNDROME 5; SLSN5	AR	genitourinaryKidneys, headAndNeckEyes
CBX2	46,XY SEX REVERSAL 5; SRXY5	AR	genitourinaryInternalGenitaliaFemale, genitourinaryExternalGenitaliaFemale, laboratoryAbnormalities, endocrineFeatures
ADHD3	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	AD	
CYP4F22	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 5; ARCI5	AR	skinNailsHairSkin, skinNailsHairSkinHistology, cardiovascularVascular
XPC	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C; XPC	AR	skinNailsHairSkin, headAndNeckEyes
DEL4q21	CHROMOSOME 4q21 DELETION SYNDROME	Isolated cases	growthOther, neurologicCentralNervousSystem, headAndNeckHead, muscleSoftTissue, headAndNeckMouth, headAndNeckEyes
A contiguous gene syndrome caused by deletion (1.5Mb - 3.0Mb) of 22q11.2 {UMLS C3277699}	VELOCARDIOFACIAL SYNDROME	AD	abdomenExternalFeatures, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, immunology, endocrineFeatures, headAndNeckMouth, cardiovascularHeart, voice, cardiovascularVascular
NUP93	NEPHROTIC SYNDROME, TYPE 12; NPHS12	AR	genitourinaryKidneys, laboratoryAbnormalities
DEL17q11.2	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-MB	AD	skinNailsHairSkin, growthOther, headAndNeckHead, cardiovascularHeart, skeletalFeet, growthHeight, headAndNeckFace, skeletalHands, neoplasia, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, skeletal, chestRibsSternumClaviclesAndScapulae, skeletalSpine, muscleSoftTissue, headAndNeckEyes
PPP2R2B	SPINOCEREBELLAR ATAXIA 12; SCA12	AD	headAndNeckFace, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckEyes, neurologicPeripheralNervousSystem
OPA6	OPTIC ATROPHY 6; OPA6	AR	headAndNeckEyes
OPA2	OPTIC ATROPHY 2; OPA2	X-linked	
OPA3	OPTIC ATROPHY 3, AUTOSOMAL DOMINANT; OPA3 | 3-METHYLGLUTACONIC ACIDURIA, TYPE III; MGCA3	AR, AD	neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities
OPA1	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY | BEHR SYNDROME; BEHRS | OPTIC ATROPHY 1; OPA1	AR, AD	headAndNeckEars, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, skeletalLimbs, neurologicPeripheralNervousSystem
CEP83	NEPHRONOPHTHISIS 18; NPHP18	AR	headAndNeckEars, abdomenLiver, neurologicCentralNervousSystem, cardiovascularVascular, genitourinaryKidneys
113A	TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE; TTD5	XLD	skinNailsHairSkin, skeletalSkull, growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, immunology, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, genitourinaryUreters, muscleSoftTissue, skinNailsHairHair
OPA8	OPTIC ATROPHY 8; OPA8	AD	cardiovascularHeart, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, headAndNeckEars, muscleSoftTissue
PHA2A	PSEUDOHYPOALDOSTERONISM, TYPE IIA; PHA2A	AD	muscleSoftTissue, cardiovascularVascular, laboratoryAbnormalities
TRAPPC9	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13; MRT13	AR	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, headAndNeckNeck, growthWeight
PTRH2	NEUROLOGIC, ENDOCRINE, AND PANCREATIC DISEASE, MULTISYSTEM, INFANTILE-ONSET; IMNEPD	AR	growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, abdomenPancreas, neurologicPeripheralNervousSystem, headAndNeckFace, abdomenLiver, skeletalHands, headAndNeckEyes, neurologicCentralNervousSystem, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue
COL7A1	EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL RECESSIVE; RDEB | EPIDERMOLYSIS BULLOSA WITH CONGENITAL LOCALIZED ABSENCE OF SKIN AND DEFORMITY OF NAILS | EPIDERMOLYSIS BULLOSA DYSTROPHICA, PRETIBIAL | TRANSIENT BULLOUS DERMOLYSIS OF THE NEWBORN; TBDN | EPIDERMOLYSIS BULLOSA PRURIGINOSA | NAIL DISORDER, NONSYNDROMIC CONGENITAL, 8; NDNC8 | EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL DOMINANT; DDEB	AR, AD	skinNailsHairSkin, skinNailsHairSkinElectronMicroscopy, growthOther, abdomenGastrointestinal, skeletalFeet, hematology, skeletalHands, neoplasia, skinNailsHairNails, skeletal, headAndNeckMouth, headAndNeckTeeth, skinNailsHairHair, headAndNeckEyes
CTRC	PANCREATITIS, HEREDITARY; PCTT	AD	
JPH3	HUNTINGTON DISEASE-LIKE 2; HDL2	AD	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, growthWeight
FUT1	BOMBAY PHENOTYPE	AR	hematology
C12ORF57	TEMTAMY SYNDROME; TEMTYS	AR	neurologicCentralNervousSystem, skeletalPelvis, headAndNeckEars, skeletalFeet, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, skeletalLimbs
TRAPPC2	SPONDYLOEPIPHYSEAL DYSPLASIA TARDA, X-LINKED; SEDT	XLR	skeletalPelvis, skeletal, chestExternalFeatures, growthHeight, headAndNeckEyes, skeletalSpine, headAndNeckNeck, skeletalLimbs
DEL19q13.11p	CHROMOSOME 19q13.11 DELETION SYNDROME, PROXIMAL	AD	genitourinaryBladder, growthOther, neurologicCentralNervousSystem, skeletalPelvis, genitourinaryKidneys, abdomenGastrointestinal, skeletalFeet, headAndNeckFace, skeletalHands, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, genitourinaryUreters
PRPH	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AD	muscleSoftTissue, neurologicCentralNervousSystem, laboratoryAbnormalities
AMCN	ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUROGENIC TYPE; AMCN	AR	muscleSoftTissue, skeletal, cardiovascularHeart, skeletalFeet
OFC13	OROFACIAL CLEFT 13; OFC13	AD	headAndNeckMouth
MAG	SPASTIC PARAPLEGIA 75, AUTOSOMAL RECESSIVE; SPG75	AR	muscleSoftTissue, headAndNeckEars, neurologicCentralNervousSystem, headAndNeckEyes, neurologicPeripheralNervousSystem
MAF	AYME-GRIPP SYNDROME; AYGRP | CATARACT 21, MULTIPLE TYPES; CTRCT21	AD	skeletalSkull, chestBreasts, skeletalPelvis, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, skinNailsHairNails, neurologicCentralNervousSystem, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart, skinNailsHairHair
CTBP1	HYPOTONIA, ATAXIA, DEVELOPMENTAL DELAY, AND TOOTH ENAMEL DEFECT SYNDROME; HADDTS	AD	headAndNeckFace, neurologicCentralNervousSystem, headAndNeckEyes, abdomenGastrointestinal, muscleSoftTissue, headAndNeckMouth, headAndNeckTeeth
NTHL1	FAMILIAL ADENOMATOUS POLYPOSIS 3; FAP3	AR	neoplasia, abdomenGastrointestinal
ADH1C	ALCOHOL DEPENDENCE | PARKINSON DISEASE, LATE-ONSET; PD	AD, Probably multifactorial, genetically influenced	headAndNeckFace, genitourinaryBladder, headAndNeckNose, neurologicCentralNervousSystem, abdomenGastrointestinal, neurologicBehavioralPsychiatricManifestations
S3	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 8; MC1DN8	AR	respiratory, abdomenGastrointestinal, abdomenPancreas, neurologicCentralNervousSystem, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, metabolicFeatures
DFNA33	DEAFNESS, AUTOSOMAL DOMINANT 33; DFNA33	AD	headAndNeckEars
ITGA8	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1	AR	prenatalManifestationsAmnioticFluid, genitourinaryKidneys, headAndNeckEars, skeletalFeet, genitourinaryBladder, headAndNeckFace, skeletalHands, headAndNeckEyes, respiratoryLung, genitourinaryUreters
BEN	NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM	AD	growthOther, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, skeletal, headAndNeckNose, headAndNeckEyes, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
ATP2A1	BRODY MYOPATHY	AR	
ATP2A2	ACROKERATOSIS VERRUCIFORMIS; AKV | DARIER-WHITE DISEASE; DAR	AD	skinNailsHairSkin, skinNailsHairSkinElectronMicroscopy, neurologicCentralNervousSystem, headAndNeckMouth, skinNailsHairSkinHistology, neurologicBehavioralPsychiatricManifestations, skinNailsHairNails
ALDH3A2	SJOGREN-LARSSON SYNDROME; SLS	AR	skinNailsHairSkin, neurologicCentralNervousSystem, skeletalFeet, growthHeight, headAndNeckTeeth, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, skinNailsHairHair, skinNailsHairNails
CRB1	RETINITIS PIGMENTOSA 12; RP12 | PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY; PPCRA | LEBER CONGENITAL AMAUROSIS 8; LCA8	AR, Autosomal dominant vs. X-linked	headAndNeckEyes
ITGA2	BLEEDING DISORDER, PLATELET-TYPE, 9; BDPLT9	AD	skinNailsHairSkin, hematology
ITGA3	INTERSTITIAL LUNG DISEASE, NEPHROTIC SYNDROME, AND EPIDERMOLYSIS BULLOSA, CONGENITAL; ILNEB	AR	skinNailsHairSkin, skeletalSkull, chestBreasts, genitourinaryKidneys, headAndNeckEars, skeletalFeet, skinNailsHairSkinElectronMicroscopy, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, voice, headAndNeckHead, neurologicCentralNervousSystem, chestExternalFeatures, headAndNeckMouth, skinNailsHairSkinHistology, muscleSoftTissue, skinNailsHairNails, skinNailsHairHair
BED	BORNHOLM EYE DISEASE; BED	XLR	headAndNeckEyes
ARG1	ARGININEMIA	AR	abdomenExternalFeatures, growthOther, neurologicCentralNervousSystem, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, metabolicFeatures
EDC3	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 50; MRT50	AR	headAndNeckEars, neurologicCentralNervousSystem, headAndNeckHead
ARID1A	COFFIN-SIRIS SYNDROME 2; CSS2	AD	neurologicCentralNervousSystem, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, cardiovascularHeart, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletal, skinNailsHairHair, skinNailsHairNails
APOA5	HYPERLIPOPROTEINEMIA, TYPE V | HYPERTRIGLYCERIDEMIA, FAMILIAL	AD	
IQSEC2	MENTAL RETARDATION, X-LINKED 1; MRX1	XLD	muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEyes
GPRASP2	DEAFNESS, X-LINKED 7; DFNX7	XLR	headAndNeckEars, headAndNeckNose, headAndNeckEyes
APOA1	AMYLOIDOSIS, FAMILIAL VISCERAL	AD	
