Gene	Inheritance
Autosomal recessive, Rare familial cases, Autosomal dominant with variable expression and incomplete penetrance, Mitochondrial form, Autosomal dominant with reduced penetrance, Autosomal dominant with variable expressivity, Autosomal recessive not excluded, but probably multifactorial, Autosomal dominant vs. X-linked, Male-limited, autosomal dominant, Male-limited autosomal dominant vs. Y-linked, Autosomal dominant plus dietary factor, XLD, No proved genetic factors, Autosomal recessive vs contiguous gene syndrome, Autosomal recessive vs. new dominant mutant, Autosomal recessive (infantile onset type), Autosomal dominant new mutations, No information on genetics, XLR, Autosomal recessive vs. pseudodominance, Somatic mutation, Autosomal recessive vs. autosomal dominant or multifactorial, X-linked vs. male-limited autosomal dominant, Autosomal dominant vs. polygenic, Autosomal recessive most frequent, autosomal dominant next, and X-linked recessive least frequent, Autosomal recessive with sex limitation, X-linked.  contiguous gene syndrome, Autosomal recessive vs. X-linked dominant, Severe autosomal recessive form, usually dominant, X-linked recessive (Xp21.2-q21.1), Autosomal recessive predisposition, Autosomal dominant somatic cell mutation, Isolated cases, Autosomal recessive and/or mitochondrial, X-linked, severe in males and mild in females, Genetic vs. viral, Autosomal recessive vs. viral or other etiology, Not likely mendelian, but shows familial aggregation, Autosomal dominant gene epistatic to other secondary genes conferring specificity to the autoimmune phenotype, X-linked vs. multifactorial with high male:female sex ratio, Autosomal dominant with sex influence, New dominant mutation with paternal age effect, Sex-limited autosomal dominant, X-linked form, Autosomal dominant vs. autosomal recessive with pseudodominance., Autosomal recessive vs. diabetic neuropathy, Autosomal dominant vs. pseudoautosomal, Autosomal recessive locus for high activity plus probably other loci, Autosomal recessive vs. multifactorial, Possible genetic factors, Autosomal recessive much rarer than X-linked, Familial factors over and above alpha1-antitrypsin, Non-Mendelian,  heritability, Autosomal dominant vs. Y-linked, Autosomal recessive vs. X-linked recessive, Male-limited autosomal dominant, Autosomal dominant with variable expression, Autosomal dominant vs. multifactorial, Most likely multifactorial, Autosomal recessive, dominance not excluded, Autosomal recessive gene accounts for 35% of variability, X-linked (  contiguous gene syndrome), Autosomal dominant for some such as methemoglobinemia, polycythemia, and Heinz body hemolytic anemia, Familial cases reported, but probably not Mendelian, Autosomal dominant vs. multifactorial form, X-linked dominant lethal in hemizygous males vs. autosomal dominant with female influence, No genetic information, X-linked predisposition, X-linked, polygenic influence, No familial case reported, Autosomal dominant, also other autosomal dominant forms, as well as autosomal recessive, and X-linked forms, Autosomal recessive in several families, Autosomal dominant with incomplete penetrance, Autosomal dominant (14q23-q24.2), Autosomal dominant susceptibility (6p23), AD, Polygenic or multifactorial with heritability of 56%, Probably multifactorial, AR, Unclear, Multifactorial, X-linked (Xp22.3), Non-mendelian, Multifactorial vs. autosomal dominant, Autosomal dominant vs. pseudodominance of recessive, Mitochondrial, Autosomal vs. X-linked dominant, Genetic differences in susceptibility to thalidomide are suspected but unproved, Familial aggregation without simple mendelian pattern
FOXO1	Somatic mutation
ABCD4	AR
METTL23	AR
CD96	AD
D2HGD	AR
CORO1A	AR
ATP1A3	AD
ATP1A2	AD
ATP1A1	AD
CDC45	AR
DFNA47	AD
SPG11	AR
MYMY1	AR
MJD	AD
IFIH1	AD
WNT10B	AR, AD
MYMY4	XLR
DHS6S1	AD
HMGB3	X-linked
EEF1A2	AD
FERM	AR, X-linked
STE24	AR
SPNS2	AR
KIAA0125	AR
ABAT	AR
CTRCT29	AD
NAFLD2	Multifactorial
NAFLD1	Multifactorial
BIN1	AR
LOX	AD
VIPAR	AR
DAB1	AD
DDR2	AR, AD
WDR45B	AR
ZNF41	XLD
IFT80	AR
IFT81	AR
AASS	AR
UBTF	AD
OPHN1	XLR
KIF4A	XLR
ACTA2	AD
IIE	AR
ARHGEF18	AR
Caused by mutation in the fumarate hydratase gene (FH	AR, AD
CDCA7	AR
IIC	AR
FIP1L1	Somatic mutation
TIMM50	AR
HOMER2	AD
III	AR, Mitochondrial, AD
MUC1	AD
ERMARD	AD
A	Isolated cases, AD, Digenic recessive, XLD, AR, XLR, X-linked, Somatic mutation
KISS1R	AR, AD
IXA	AR
ATP6V0A2	AR
DKBI	AD
MUC7	Autosomal dominant vs. multifactorial
CD46	AR
KYNU	AR
L6	AD
HIKESHI	AR
L5	AD
MCT8	X-linked
L3	AR
VMA21	XLR
L1	AR, XLR
AGC1	AD
SP7	AR
SASH1	AR
MRX73	XLR
RAB23	AR
NIPAL4	AR
TBL1Y	Y-linked
CFH	AR, AD
CFI	AR, AD
RAB28	AR
PNP	AR
GLRA1	AD
CFB	AD
CYB5A	AR
RPS29	AD
SPG19	AD
FAR1	AR
CREBBP	AD
BRF1	AR
FAS	AD
MRX77	XLR
WDR73	AR
WDR72	AR
SPG16	XLR
CFAP44	AR
CFP	XLR
ACP33	AR
PCK2	AR
AAAS	AR
RPL26	AD
YWHAE	AD
HAMP	AR
PPP2R3C	AR, AD
SHROOM	X-linked
NQO2	AD
SPRED1	AD
FAM58A	XLD
PTHLH	AD
PRPF8	AD
DUP7q11.23	AD
RCBTB1	AR
ITF43	AR
PRPF3	AD
ARL2BP	AR
FCP1	X-linked (Xp22.2)
PRPF4	AD
PRPF6	AD
Caused by mutation in the heterogeneous nuclear ribonucleoprotein A1 gene ({164017.0002})	AD
CMT2H	AR
SAM	AR, AD
RGS5	Multifactorial
SAC	AD
SIX6	AR
SAG	AR
SIX1	AD
SIX3	AD
ESRP1	AR
HSN1B	AD
CNPY3	AR
RELN	AR, AD
PRS	XLR
NODAL	AD
SCZD5	AD
RELB	AR
RELA	AD
SCZD6	AD
SCZD1	AD
PRX	AR, AD
SCZD3	AD
TMEM142A	AR
TYRP1	AR
GSTZ1	AR
ATM	AR, AD
CHF	AR
CARD9	AR
PARS2	AR
RFC1	AR
ATG5	AR
CHM	XLD, XLR
DFNA48	AD
FAM92A	AR
DFNA24	AD
DFNA27	AD
MYO3A	AR
DFNA21	AD
TREH	AR
THOC2	XLR
FCMTE1	AD
THOC6	AR
PDE8B	AD
FKHR	Somatic mutation
AAA1	Autosomal dominant vs. recessive at an autosomal major locus or multifactorial
DBH	AR
ZIC2	AD
SLC25A42	AR
SH2B	Somatic mutation
MANBA	AR
POMT2	AR
NGFB	AR
EYA1	AD
RFX6	AR
EOE1	Multifactorial
NRXN1	AR
CDON	AD
XIII	AR
DNAJC19	AR
Caused by mutation in the filamin A gene ({300017.0009})	XLD
MTRR	AR
SNAP	AR
APC	AD, Somatic mutation
KERA	AR
UQCRC2	AR
DBT	AR
TMEM43	AD
PAK3	XLR
NUP88	AR
RECQL4	AR
GGCX	AR
IL10RA	AR
IL10RB	AR
RECQL2	AR
AOMS1	AD
NUP85	AR
NUBPL	AR
AOMS2	AD
PPOX	AD
PINK1	AR
CLA3	AR
MNX1	AD
MESP2	AR
CHRNB1	AR, AD
LHCGR	AR, Sex-limited autosomal dominant
ATX1	AD
NLR	AD
COX14	AR
CYP2D6	AR
CRYGC	AD
HEPHL1	AR
TREX1	AR, AD
MFSD2A	AR
Caused by duplication of 120-527kb on 17p13.3 {UMLS C3808207}	AD
TRPA1	AD
TKT	AR
TTC7A	AR
KRIT1	AD
AKR1C2	AR
TSEN15	AR
VI	AR, AD, XLR
TRAF3IP2	AR
RIEG2	AD
ZIC1	AD
KIF14	AR
IGF2	Autosomal dominant (from paternal allele)
TCF4	AD
IGF1	AR
TOR1AIP1	AR
TCF3	AD
DLD	AR
BVES	AR
MRE11	AR
GCK	AD
NAXD	AR
ZBTB11	AR
BBS1	AR
PIGM	AR
SEPN1	AR, AD
TK2	AR
IGFBP7	AR
W	AR
DEL6q11q14	Isolated cases
PLIN1	AD
PPM2C	AR
EPS8L2	AR
PIGO	AR
EZH2	AD
MAK	AR
SIL1	AR
LARS	AR
GJA1	AR, Autosomal recessive vs. multifactorial, AD, Autosomal dominant with variable expression and incomplete penetrance
HPE1	AD
CA2	AR
GJA5	AD
GJA8	AD
CPAT1	AR
GLYCTK	AR
ATP5F1A	AR
MEF2C	AD
GAS8	AR
MEF2A	AD
Due to hemizygous deletion of 4p16.3 {UMLS C3277716}	Isolated cases
FECD2	AD
BTB	AR, AD
COX10	AR
TRIM2	AR
PROC	AR, AD
COX15	AR
BTK	XLR
PDGFRB	AD
ASPG2	Isolated cases
ZNF335	AR
TMC1	AR, AD
AMPD3	AR
AMPD2	AR
EIF2B4	AR
EIF2B5	AR
TMC8	AR
FOXF1	AD
SCN10A	AD
ATPLS	AD
{104614})	AR
Caused by mutation in the complement component 5 gene (C5	AD
PPA2	AR
TCPT	Isolated cases
MLF1	AD
IFT140	AR
DNAJ	AR
NUP62	AR
AGMX2	XLR
MECOM	AD
RSPH3	AR
RSPH1	AR
{176930.0009})	AD
TPM2	AD
TPM1	AD
EPRS	AR
MTHFR	AR, AD
CDKN1C	AD
STT3B	AR
CIB1	AR
MYT1L	AD
GPSM2	AR
PIH1	XLR
STAMBP	AR
ETFA	AR
CFHR3	AR, AD
TGFBR1	AD
MTMR14	AD
PHACTR1	AD
NLGN3	Isolated cases, X-linked
LRSAM1	AD
NUP107	AR
MTO1	AR
Contiguous gene syndrome caused by 4.3-Mb triplication of chromosome 4q32.1-q32.2 {UMLS C4013752}	AD
FOXL2	AD
ITGA6	AR
ATXN8OS	AD
ORAI	AD
TPMT	AR
Caused by mutation in the complement component 3 gene (C3	AR
BBS	AR
C16ORF57	AR
TJP2	AR, AD
MDNS	AD
CYP24A1	AR
C5ORF42	AR
LYST	AR
GORAB	AR
ASPG1	Isolated cases
TNFSF6	AD
TWIST	AD
MFN2	AR, AD
HLXB9	AD
SH3PXD2B	AR
EOE2	Multifactorial
TUB	AR
TRPM4	AD
MAD2L2	AR
ADCY1	AR
AQP5	AD
Q4	AR
ABCA3	AR
DCXR	AR
SCP2	AR
PCBD1	AR
KISS1	AR
AGRP	AD
AGRN	AR
I-branching enzyme gene ({600429.0004})	AD
BMPER	AR
NSMF	AD
PITX2	AD
SMOC2	AR
SMARCA2	AD
CLCNKB	Digenic recessive, AR
APMR3	AR
APMR2	AR
APMR1	AR
PLPBP	AR
MIR96	AD
AXIN2	AD, Somatic mutation
AXIN1	Somatic mutation
POU	XLR, AD
POR	AR
DYT7	AD
ZNF9	AD
DURS1	AD
TOR1A	AD
ZAP70	AR
AAGAB	AD
NALCN	AR, AD
CRYBA2	AD
KANK2	AR
ST3GAL3	AR
DNAI1	AR
HNRNPA1	AD
ST3GAL5	AR
RAC1	AD
SBDS	AR
GALNS	AR
FCGR2C	AD
FCGR2A	AR, AD
VCP	AD
CPLX1	AR
FRTS1	AD
CTRCT37	AD
CCCH	AR
PBX1	AD
DPH1	AR
CYP7B1	AR
AIRE	AR
SPAST	AD
NDNC9	AR
SLC16A1	AD
CALCR	AD
KATNB1	AR
Susceptibility conferred by mutation in the tyrosinase gene ({606933.0008})	AD
SCGB3A2	Autosomal dominant vs. multifactorial
MTND5	AR, Mitochondrial
TUBG1	AD
ARHGAP31	AD
GLC1M	AD
BCKDHB	AR
CANT1	AR
BCKDHA	AR
PTCH2	AD, Somatic
DCAF8	AD
GLC1C	AD
TUFM	AR
DFNB45	AR
DOLK	AR
DUPC1	AD
DFNB46	AR
KMT5B	AD
UNG	AR
MASP2	AR
CD36	AR
ERGIC1	AR
GNAS-AS1	AD
CCCSX	XLR
POLR3B	AR
POLR3A	AR
PAH	AR
APCDD1	AD
TXNDC3	AR
UQCRB	AR
IDDM15	Susceptibility locus for IDDM
MORC	AD
SPG27	AR
SPG25	AR
IGF2BP2	AD
CALM2	AD
CORD17	AD
SPG21	AR
CALM1	AD
CACNA1A	AD
CACNA1B	AR, AD
CACNA1C	AD
THRB	AR, AD
DCC	AR, Somatic mutation, AD
CACNA1F	XLR, X-linked, X-linked form
SYCP3	AD
DARS	AR
TAF4B	AR
DCX	X-linked
GLRX5	AR
BRDT	AR
SOBP	AR
WDR60	AR
CACNA1S	AD
DCR	Isolated cases
C19ORF12	AR
TTN	AR, AD
FLCN	AD, Somatic mutation
SFRP4	AR
PNKP	AR
HMGCL	AR
CLCN2	AR, AD
SLC25A1	AR
CDH23	AR, AD
CLCN7	AR, AD
PRMT7	AR
CLCN5	XLR
PLK4	AR
TECPR2	AR
PER2	AD
FLRT3	Autosomal dominant (see MISCELLANEOUS below)
PNKD	AD
ZNF513	AR
GFAP	AD
X	AR, XLD, AD, X-linked, XLR
LZTFL1	AR
CVMRF	XLR
B56)	AD
TRPS2	AD
GDAP2	AR
AKT1	AD, Somatic mutation
TMEM216	AR
KIF5A	AD
PTPN11	AD
KIF5C	AD
PQBP1	XLR
ARCN1	AD
PTPN14	AR
SRD5A2	AR
PLCD1	AD
MAGEL2	AD
AKT3	AD
XVII	AR, AD
TYROBP	AR
PIGY	AR
KIF1BP	AR
TTC19	AR
CD3E	AR
CTAA2	AD
CD3G	AR
CSF2RB	AR
CDAN1	AR
ACADS	AR
DMD	XLR, X-linked
DER22t11-22	Inherited chromosomal imbalance
H19	Autosomal dominant (loss of paternal allele), AD
L15	AD
HSPG2	AR
ANOP1	XLR
L11	AD
DNAJC21	AR
C4orf26	AR
LARGE	AR
UPB1	AR
GCGR	AD
MYP9	Multifactorial
NBEAL2	AR
HABP2	AD
MAFA	AD
DFNA18	AD
NDRG1	AR
ACADM	AR
SIPA1L3	AR
IARS2	AR
PPM1D	AD
RFX5	AR
PPM1B	AR
USP45	AR
FGD4	AR
EGR1	AR
TBCD	AR
ND4L	Mitochondrial
PPARGC1B	AD
XDH	AR
DNAJB13	AR
TPRN	AR
DNAJB11	AD
HLA-DQB1	AR, AD, Multifactorial
5C	AD
KIF7	AR
TMEM70	AR
FWS	AR
CHEK2	Somatic mutation, AD
K	AR, AD
HOXA2	AD
CISD2	AR
FGG	AR
C	Autosomal dominant (incomplete penetrance), AR, XLD, AD, Multifactorial
UPF3B	XLR
INF2	AD
UMPS	AR
SGSH	AR
PAX4	Autosomal dominant (in 1 patient), AD
PAX7	Somatic mutation
PAX6	AD
PAX1	AR
MRPL3	AR
PAX3	AD, Somatic mutation
PAX2	AD
PTPN1	AD
KCNQ1	AR, AD
PAX9	AD
PAX8	AD
PKD1L1	AR
MGP	AR
GINS1	AR
Caused by mutations in the ceruloplasmin gene (CP	AR
PROK2	AD
DMLX2	AD
ACAD9	AR
EDS8	AD
PSA	AD
SGCA	AR
FAME3	AD
ATP8A2	AR
ZP1	AR
COL4A4	AR, AD
GJA3	AD
RBCK1	AR
DFNA59	AD
KRT6A	AD
MOG	AD
ZP3	AD
ZFYVE26	AR
AICAR	AR
Contiguous gene syndrome resulting from hemizygous deletion 1.5 - 1.8 Mb on 7q11.2 {UMLS C4231316}	AD
AGBL5	AR
ETV	AD
PPP1R17	AD
SLC20A2	AD
MYO1E	AR
SH2D1A	XLR
MSRB3	AR
CTDP1	AR
RPS7	AD
ADAMTS10	AR
ADAMTS13	AR
MRX23	X-linked
DEL1p36	Isolated cases
BULN	Multifactorial
ADAMTS17	AR
IL31RA	AD
CLDN19	AR
ADAMTS18	AR
DEL18p	AD
DEL18q	AD
CD79B	AR
MEOX1	AR
BCR	Somatic mutation
CD79A	AR
SLC52A1	AD
SLC52A3	AR
SLC52A2	AR
CTPS1	AR
MYP1	XLR
TACR3	AR
BDA1B	AD
HOXA13	AD
GPNMB	AR
EKD2	AD
S14	AR, Somatic mutation
SLC6A19	AR, AD
SLC34A2	AR
CDK6	AR
OBSL1	AR
ERCC1	AR
C3	AD
C2	AR, AD
C1	AR, AD, XLR
DSG1	AR, AD
SLC6A17	AR
PNPT1	AR
DSG4	AR
GALT	AR
SRC	AD, Somatic mutation
HMGCS2	AR
PDHA1	XLD
COL4A3BP	AD
ERCC4	AR
IHPS1	AD
PRKN	AR, Somatic mutation
GALE	AR
AUTS1	Isolated cases
FXYD	AD
GALC	AR
ATXN10	AD
SRY	Y-linked, XLD, AD
SFTPC	AD
GNAS1	Somatic mosaicism, AD, Somatic mutation
TCAP	AR, AD
KCNJ2	AD
KCNJ1	AR, AD
KCNJ6	AD
KCNJ5	AD
CYP17A1	AR
EIF2AK3	AR
EIF2AK4	AR
TAPBP	AR
ADRB2	Autosomal dominant vs. multifactorial, AD
MRPS14	AR
COL1A2	AR, AD
AGPAT2	AR
COL1A1	AD
ELN	AD
SEPT12	AD
TRNT1	AR
HLCS	AR
DPY19L2	AR
OCRL	XLR
OR2J3	AD
MCM3AP	AR
VARS	AR
FCGR3A	AR
Caused by a 1.35-Mb duplication of chromosome 1q21 {UMLS C2675894}	AD
ECM1	AR
SLCO1B1	Digenic recessive
SLCO1B3	Digenic recessive
L27	AD
MPDU1	AR
KIAA1033	AR
FMR1	XLD, X-linked
PEX10	AR
PEX13	AR
PEX12	AR
PEX14	AR
GCDH	AR
PEX16	AR
AP3B1	AR
PRICKLE1	AR
GRID2	AR
AP3B2	AR
P2	AD
D4Z4	AD
GCNT2	AR, AD
CFAP53	AR
RPL27	AD
TAC3	AR
RPL21	AD
CATSPER1	AR
CATSPER2	AR
V0	AR
V1	AR, AD
FTCD	AR
DICER	AD
MTTL1	AR, Mitochondrial
P3H1	AR
SLC16A12	AD
EYA4	AD
SPINK5	AR
MTAP6	Mitochondrial
Full trisomy 21	Isolated cases
SPINK2	AR
SPINK1	AD
ZNF423	AD
VA	AR
CNTNAP2	AR
PIGC	AR
SMARCB1	AD
PIGG	AR
PIGH	AR
PIEZO2	AR, AD
PIEZO1	AR, AD
PIGL	AR
HADH	AR
PIGN	AR
HPT	X-linked
PIGP	AR
TAPT1	AR
PIGS	AR
PIGT	AR, AD
PIGV	AR
PIGW	AR
Y	XLD, AR
EPCAM	AR
SPAG1	AR
EMC1	AR
HPD	AR, AD
OSGEP	AR
ANKLE2	AR
PPP1CB	AD
HYPT9	AR
SERPINB8	AR
Caused by duplication of 300kb (Chr12:64,803,839-65,098,981 (GRCh37)) on 12q14 {UMLS C3805908}	AD
BBIP1	AR
CCDC174	AR
FAM134B	AR
RAD54L	AD
PDK3	XLD
PDE11A	AD
EBP	XLD, XLR
RDH11	AR
RDH12	Autosomal dominant (in one RP53 family)
COL6A1	AR, AD
WBP2	AR
COL6A3	AR, AD
COL6A2	AR, AD
SEC61A1	AD
HAVCR2	AR
ALPL	AR, AD
THAS	X-linked
RAB3	AR
THAP	AD
FXYD2	AD
NMTC3	AD
RAB7	AD
NDUFAF4	AR
MLSM7	AR
CCNQ	XLD
SPG3A	AD
PUF60	AD
NCF1	AR
DMGDH	AR
MYH14	AD
MAFB	AD
PHKB	AR
5A	AR, AD
Caused by deletion of at least 600kb in 10q26.2 {UMLS C2750384}	AD
Caused by mutation in the collectin 11 gene ({612502.0001})	AR
5B	AR, AD
SLC39A13	AR
SLC39A14	AR, AD
USH1K	AR
CEP120	AR
RBPJ	AD
PFKM	AR
NTRK2	AD
SLC34A1	AR, AD
LRPAP1	AR
SLC34A3	AR
EVI1	AD
ARHGAP26	AD
S2	AR
ABCB7	XLR
YY1AP1	AR
DUP17q12	AD
{157140})	AD
BLNK	AR
CD8A	AR
MLYCD	AR
TDRD9	AR
D	AR, AD, Autosomal dominant (see MISCELLANEOUS below), XLR
MRPS7	AR
PARK2	AR
MED17	AR
TDRD7	AR
VPS45	AR
S6	XLD, AR
TSEN54	AR
RBP3	AR
RBP4	AR, AD
MYSM1	AR
PPIB	AR
AD10	AD
HNFJ3	AD
UBR1	AR
Caused by mutation in the homolog of the mouse T brachyury gene (T	AR
NANS	AR
KRAS	Somatic mosaicism, AD, Somatic mutation
LECD	XLD
NDUFAF5	AR
SPG32	AR
BMP4	Familial predisposition, AD
SPG34	XLR
BMP2	AR, AD
BMP1	AR
SPG37	AD
SPG38	AD
ARPC1B	AR
SGO1	AR
ACSL4	XLD
FAT2	AD
Linked to a locus at 16q. {UMLS C1860266}	AD
ED1	XLR
FAT4	AR
SMPX	XLD
REN	AR, AD
GFPT1	AR
EIF4G1	AD
UQCC3	AR
CCNK	AD
Susceptibility conferred by contiguous gene deletion (26-600kb) on chromosome 11p13 {UMLS C4314336}	AD
LRAT	AR
DFNB17	AR
DFNB14	AR
RASSF1	Somatic mutation
TRIM32	AR
RPL5	AD
KCNQ1OT1	AD
TRIM36	AR
HT	AD
OB	AR
DEL2p21	AR
NHP2	AR
HYSP3	AD
A contiguous gene syndrome caused by deletion of 180kb encompassing 18 genes on chromosome 17p13.1 {UMLS C3279171}	AD
KREMEN1	AR
HD	AR, AD
CHD1	AD
CHD3	AD
MRX2	X-linked
FYVE	AR, AD
UROC1	AR
LRRK2	AD
PTH	AD
TSC2	Somatic mutation, AD
NOTCH1	AD
INVS	AR
KIAA0586	AR
ABHD12	AR
HINT1	AR
NPC2	AR
COL27A1	AR
SKIV2L	AR
CHDT3	AD
Caused by mutation in the Kell blood group protein gene (XK	X-linked
SULF1	AD
CHRM3	AR
PTS	AR
RFH1	AD
NDUFAF2	AR
CRYM	AD
RAB3GAP2	AR
IL4R	AD
HDCPH1	AD
PIKFYVE	AD
MN1	AD
ADCY3	AR
RNF43	AD
TTC8	AR
DHX30	AD
ANKRD26	AD
CLMP	AR
RHOH	AR
1D	AD
DAG1	AR
SF3B4	AD
TMPRSS15	AR
ITPR2	AR
ITPR3	Autosomal recessive susceptibility
EFHC1	AD
ITPR1	AD
CHDM	AD
SCZD10	AD
ETHE1	AR
SCZD12	AD
TMEM67	AR
IL1RN	AR, AD
ABCG2	AD
CCNO	AR
PRDM12	AR
ABCG5	AR
MTTE	Mitochondrial
TLK2	AD
MPN	AR
MPO	AR, AD
MPL	AR, Somatic mutation, AD
AMPA	AD, XLR
HNF4A	AD, Autosomal dominant (20q12-q13.1)
MPI	AR
PRODH	AR, AD
ITM2B	AD
ERCC6L2	AR
MTTP	AR, AD
SNCB	AD
ELP1	AR
TARS2	AR
SNCA	AD
KBTBD13	AD
RNF125	AD
AIFM1	XLR
MPZ	AR, AD
9C	AR
IL17RA	AR
S27	AD
MCPH1	AR
DFNB13	AR
GAMT	AR
TNFRSF11B	AR
ACAN	AR, AD
OFC1	AD
POT1	AD
SLC36A2	AR, AD
GJA12	AR
B12	AR
P2RY12	AR
SACS	AR
B11	X-linked
MUC5B	AD
HPGD	AR
NLGN4X	X-linked
SCAPER	AR
TEK	AD
FZD4	AD
FZD6	AR
4D	AD
AGTPBP1	AR
Caused by deletion of 539.77kb (GRCh37 chr8 77226464-77766239) on chromosome 8q21.11 {UMLS C3280238}	AD
TEC	AR
HSCR5	AD
CTNNA1	AD
L21	AD
HESX1	AD
ING1	AR
NECTIN1	AR
NBN	AR
NECTIN4	AR
L26	AD
SRD5A3	AR
NFKB1	AD
NFKB2	AD
DHCR24	AR
EBF3	AD
B3GALNT2	AR
Caused by duplication of at least 325kb on 10q24 {UMLS C3278443}	AD
