HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	Orphanet ID	OMIM ID
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	291794	605452
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7	22	117646	300135
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8	11194	469888	605464
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9	23457		605453
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10	23456		605454
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	56476		
HGNC:31129	Approved	ABCB10P3	ABCB10 pseudogene 3	728248		
HGNC:31130	Approved	ABCB10P4	ABCB10 pseudogene 4	100132289		
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	8647	117631	603201
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	4363	469890	158343
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	1244	117652	601107
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3	8714	469892	604323
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4	10257	469894	605250
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5	10057		605251
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1	100873982		
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	368	117658	603234
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190		
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013		
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	6833	117665	600509
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9	10060	117673	601439
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10	89845		612509
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11	85320		607040
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12	94160		607041
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000		608835
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1	215	117677	300371
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785		
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983		
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982		
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957		
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762		
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	225	469896	601081
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	5825	469898	170995
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	5826	315413	603214
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	6059		601213
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	23		603429
HGNC:53628	Approved	ABCF1-DT	ABCF1 divergent transcript	107986587		
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2	10061		612510
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653		
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059		
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3	55324		
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1	9619		603076
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	469900	603756
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4	64137		607784
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5	64240	117683	605459
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8	64241	117685	605460
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1	84696		612195
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2	11057		612196
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3	171586		612197
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4	63874		
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5	51099	117687	604780
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6	57406		616966
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8	79575		
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10	55347		
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	83451		
HGNC:18289	Approved	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	171022		612545
HGNC:40012	Entry Withdrawn	ABHD11-AS2	ABHD11 antisense RNA 2			
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12	26090	239970	613599
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	145447		
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	84945		
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A	25864		
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760		
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B	84836		
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15	116236		
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1	104355133		
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A	7920		142620
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	140701		
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A	81926		617942
HGNC:28394	Approved	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	728917		
HGNC:34041	Approved	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	648359		
HGNC:34042	Approved	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	729495		
HGNC:34043	Approved	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	91219		
HGNC:34044	Approved	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	644988		
HGNC:38508	Approved	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	100133212		
HGNC:38509	Approved	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	647144		
HGNC:38510	Approved	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	100132251		
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B	51104		617943
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C	58489		617944
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	80167		
HGNC:11320	Approved	ABI1	abl interactor 1	10006		603050
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	326268		
HGNC:24011	Approved	ABI2	abl interactor 2	10152		606442
HGNC:29859	Approved	ABI3	ABI family member 3	51225		606363
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein	25890		606279
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	54942		
HGNC:39851	Approved	ABITRAMP1	ABITRAM pseudogene 1	390403		
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	117691	189980
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27		164690
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	3983		602330
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2	84448		612544
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3	22885		611305
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28		110300
HGNC:81	Approved	ABR	ABR activator of RhoGEF and GTPase	29		600365
HGNC:30655	Approved	ABRA	actin binding Rho activating protein	137735		609747
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	58527		
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	470314	611143
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	23172		611144
HGNC:17369	Approved	ABT1	activator of basal transcription 1	29777		
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1	100420695		
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1	80325		608308
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2	25841		
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1	30	469902	604054
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2	10449		604770
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	31		200350
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta	32		601557
HGNC:86	Entry Withdrawn	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)			
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8	27034	123336	604773
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9	28976	123334	611103
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10	80724		611181
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11	84129		614288
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase long chain	33	159889	609576
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase medium chain	34	117700	607008
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase short chain	35	117705	606885
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	117709	600301
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase very long chain	37	117713	609575
HGNC:319	Approved	ACAN	aggrecan	176	117718	155760
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744		607763
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527		607766
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1	100874306		
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983		
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	38	117724	607809
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2	39		100678
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	64746		606809
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1	107985353		
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4	79777		
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5	91452	469904	616618
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6	84320		616352
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7	414149		
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680		608405
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110		
HGNC:25070	Approved	ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	419358	609377
HGNC:2707	Approved	ACE	angiotensin I converting enzyme	1636	117728	106180
HGNC:13557	Approved	ACE2	angiotensin I converting enzyme 2	59272		300335
HGNC:44365	Approved	ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123		
HGNC:18356	Approved	ACER1	alkaline ceramidase 1	125981		613491
HGNC:23675	Approved	ACER2	alkaline ceramidase 2	340485		613492
HGNC:16066	Approved	ACER3	alkaline ceramidase 3	55331		617036
HGNC:108	Approved	ACHE	acetylcholinesterase (Cartwright blood group)	43		100740
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1	22985		604562
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532		613665
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	1238		602648
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	57007	469906	610376
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4	51554		606065
HGNC:21142	Approved	ACKR4P1	ACKR4 pseudogene 1	285737		
HGNC:114	Entry Withdrawn	ACLS	acrocallosal syndrome			
HGNC:115	Approved	ACLY	ATP citrate lyase	47		108728
HGNC:116	Entry Withdrawn	ACMG	acromegaly			
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013		608889
HGNC:34504	Approved	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	347275		
HGNC:117	Approved	ACO1	aconitase 1	48	469908	100880
HGNC:118	Approved	ACO2	aconitase 2	50	317699	100850
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1	730249		615275
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1	641371		614313
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2	10965		609972
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4	122970		614314
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	641372		614267
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7	11332		602587
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8	10005		608123
HGNC:17152	Approved	ACOT9	acyl-CoA thioesterase 9	23597		300862
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11	26027		606803
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12	134526		614315
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13	55856		615652
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1	51	117738	609751
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2	8309	469910	601641
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310		603402
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like	55289		
HGNC:41112	Approved	ACOXL-AS1	ACOXL antisense RNA 1	400997		
HGNC:122	Approved	ACP1	acid phosphatase 1	52		171500
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal	53		171650
HGNC:125	Approved	ACP3	acid phosphatase 3	55		171790
HGNC:14376	Approved	ACP4	acid phosphatase 4	93650		606362
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant	54	259358	171640
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic	51205	469912	611471
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928		610490
HGNC:126	Approved	ACR	acrosin	49		102480
HGNC:17195	Approved	ACRBP	acrosin binding protein	84519		608352
HGNC:127	Approved	ACRV1	acrosomal vesicle protein 1	56		102525
HGNC:29567	Approved	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205		614362
HGNC:24174	Approved	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616		614363
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2	80221		610465
HGNC:27288	Approved	ACSF3	acyl-CoA synthetase family member 3	197322	289511	614245
HGNC:3569	Approved	ACSL1	acyl-CoA synthetase long chain family member 1	2180		152425
HGNC:3570	Approved	ACSL3	acyl-CoA synthetase long chain family member 3	2181		602371
HGNC:40227	Approved	ACSL3-AS1	ACSL3 antisense RNA 1	105373904		
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4	2182	117743	300157
HGNC:16526	Approved	ACSL5	acyl-CoA synthetase long chain family member 5	51703		605677
HGNC:16496	Approved	ACSL6	acyl-CoA synthetase long chain family member 6	23305		604443
HGNC:40772	Approved	ACSL6-AS1	ACSL6 antisense RNA 1	101927693		
HGNC:18049	Approved	ACSM1	acyl-CoA synthetase medium chain family member 1	116285		614357
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876		614358
HGNC:30931	Approved	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158		614359
HGNC:10522	Approved	ACSM3	acyl-CoA synthetase medium chain family member 3	6296		145505
HGNC:32016	Approved	ACSM4	acyl-CoA synthetase medium chain family member 4	341392		614360
HGNC:26060	Approved	ACSM5	acyl-CoA synthetase medium chain family member 5	54988		614361
HGNC:51295	Approved	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779		
HGNC:31665	Approved	ACSM6	acyl-CoA synthetase medium chain family member 6	142827		
HGNC:16091	Approved	ACSS1	acyl-CoA synthetase short chain family member 1	84532		614355
HGNC:15814	Approved	ACSS2	acyl-CoA synthetase short chain family member 2	55902		605832
HGNC:24723	Approved	ACSS3	acyl-CoA synthetase short chain family member 3	79611		614356
HGNC:129	Approved	ACTA1	actin alpha 1, skeletal muscle	58	117750	102610
HGNC:130	Approved	ACTA2	actin alpha 2, smooth muscle	59	138831	102620
HGNC:45169	Approved	ACTA2-AS1	ACTA2 antisense RNA 1	100132116		
HGNC:132	Approved	ACTB	actin beta	60	159893	102630
HGNC:17780	Approved	ACTBL2	actin beta like 2	345651		614835
HGNC:134	Approved	ACTBP1	ACTB pseudogene 1	643309		
HGNC:135	Approved	ACTBP2	ACTB pseudogene 2	62		
HGNC:136	Approved	ACTBP3	ACTB pseudogene 3	63		
HGNC:137	Approved	ACTBP4	ACTB pseudogene 4	64		
HGNC:138	Entry Withdrawn	ACTBP5	actin, beta pseudogene 5			
HGNC:139	Approved	ACTBP6	ACTB pseudogene 6	66		
HGNC:140	Approved	ACTBP7	ACTB pseudogene 7	67		
HGNC:141	Approved	ACTBP8	ACTB pseudogene 8	68		
HGNC:142	Approved	ACTBP9	ACTB pseudogene 9	69		
HGNC:31819	Approved	ACTBP10	ACTB pseudogene 10	446207		
HGNC:33971	Approved	ACTBP11	ACTB pseudogene 11	644220		
HGNC:150	Approved	ACTBP12	ACTB pseudogene 12	100462767		
HGNC:44626	Approved	ACTBP13	ACTB pseudogene 13	389120		
HGNC:45086	Approved	ACTBP14	ACTB pseudogene 14	389976		
HGNC:143	Approved	ACTC1	actin alpha cardiac muscle 1	70	117753	102540
HGNC:144	Approved	ACTG1	actin gamma 1	71	166815	102560
HGNC:146	Approved	ACTG1P1	actin gamma 1 pseudogene 1	73		
HGNC:147	Approved	ACTG1P2	actin gamma 1 pseudogene 2	74		
HGNC:148	Approved	ACTG1P3	actin gamma 1 pseudogene 3	75		
HGNC:149	Approved	ACTG1P4	actin gamma 1 pseudogene 4	648740		
HGNC:151	Approved	ACTG1P6	actin gamma 1 pseudogene 6	78		
HGNC:152	Approved	ACTG1P7	actin gamma 1 pseudogene 7	79		
HGNC:153	Approved	ACTG1P8	actin gamma 1 pseudogene 8	80		
HGNC:154	Approved	ACTG1P9	actin gamma 1 pseudogene 9	82		
HGNC:155	Approved	ACTG1P10	actin gamma 1 pseudogene 10	83		
HGNC:37651	Approved	ACTG1P11	actin gamma 1 pseudogene 11	414754		
HGNC:44496	Approved	ACTG1P12	actin gamma 1 pseudogene 12	100418921		
HGNC:49058	Approved	ACTG1P13	actin gamma 1 pseudogene 13	100418920		
HGNC:49751	Approved	ACTG1P14	actin gamma 1 pseudogene 14	100418910		
HGNC:51495	Approved	ACTG1P15	actin gamma 1 pseudogene 15	100418951		
HGNC:51496	Approved	ACTG1P16	actin gamma 1 pseudogene 16	100418960		
HGNC:51497	Approved	ACTG1P17	actin gamma 1 pseudogene 17	283693		
HGNC:51498	Approved	ACTG1P18	actin gamma 1 pseudogene 18	100418924		
HGNC:51499	Approved	ACTG1P19	actin gamma 1 pseudogene 19	644160		
HGNC:51500	Approved	ACTG1P20	actin gamma 1 pseudogene 20	644961		
HGNC:51501	Approved	ACTG1P21	actin gamma 1 pseudogene 21	100131291		
HGNC:51502	Approved	ACTG1P22	actin gamma 1 pseudogene 22	100131953		
HGNC:51503	Approved	ACTG1P23	actin gamma 1 pseudogene 23	442097		
HGNC:49661	Approved	ACTG1P24	actin gamma 1 pseudogene 24	441783		
HGNC:145	Approved	ACTG2	actin gamma 2, smooth muscle	72	320793	102545
HGNC:158	Entry Withdrawn	ACTL4	actin-like 4			
HGNC:159	Entry Withdrawn	ACTL5	actin-like 5			
HGNC:24124	Approved	ACTL6A	actin like 6A	86		604958
HGNC:160	Approved	ACTL6B	actin like 6B	51412		612458
HGNC:161	Approved	ACTL7A	actin like 7A	10881		604303
HGNC:162	Approved	ACTL7B	actin like 7B	10880		604304
HGNC:24018	Approved	ACTL8	actin like 8	81569		
HGNC:28494	Approved	ACTL9	actin like 9	284382		
HGNC:16127	Approved	ACTL10	actin like 10	170487		
HGNC:163	Approved	ACTN1	actinin alpha 1	87	330666	102575
HGNC:20131	Approved	ACTN1-AS1	ACTN1 antisense RNA 1	161159		
HGNC:164	Approved	ACTN2	actinin alpha 2	88	159192	102573
HGNC:165	Approved	ACTN3	actinin alpha 3 (gene/pseudogene)	89		102574
HGNC:166	Approved	ACTN4	actinin alpha 4	81	117757	604638
HGNC:44028	Approved	ACTN4P1	actinin alpha 4 pseudogene 1	344978		
HGNC:44032	Approved	ACTN4P2	actinin alpha 4 pseudogene 2	391026		
HGNC:51621	Approved	ACTP1	actin family pseudogene 1	106480335		
HGNC:167	Approved	ACTR1A	actin related protein 1A	10121		605143
HGNC:168	Approved	ACTR1B	actin related protein 1B	10120		605144
HGNC:169	Approved	ACTR2	actin related protein 2	10097		604221
HGNC:170	Approved	ACTR3	actin related protein 3	10096		604222
HGNC:53965	Approved	ACTR3-AS1	ACTR3 antisense RNA 1	101060091		
HGNC:17256	Approved	ACTR3B	actin related protein 3B	57180		
HGNC:37724	Approved	ACTR3BP1	ACTR3B pseudogene 1	643050		
HGNC:38677	Approved	ACTR3BP2	ACTR3B pseudogene 2	440888		
HGNC:38678	Approved	ACTR3BP3	ACTR3B pseudogene 3	647156		
HGNC:38681	Approved	ACTR3BP4	ACTR3B pseudogene 4	777774		
HGNC:38682	Approved	ACTR3BP5	ACTR3B pseudogene 5	399746		
HGNC:38683	Approved	ACTR3BP6	ACTR3B pseudogene 6	644773		
HGNC:37282	Approved	ACTR3C	actin related protein 3C	653857		
HGNC:31820	Approved	ACTR3P1	ACTR3 pseudogene 1	100288580		
HGNC:38676	Approved	ACTR3P2	ACTR3 pseudogene 2	100129013		
HGNC:38679	Approved	ACTR3P3	ACTR3 pseudogene 3	100128020		
HGNC:14671	Approved	ACTR5	actin related protein 5	79913		
HGNC:24025	Approved	ACTR6	actin related protein 6	64431		
HGNC:44210	Approved	ACTR6P1	ACTR6 pseudogene 1	100421495		
HGNC:14672	Approved	ACTR8	actin related protein 8	93973		
HGNC:17372	Approved	ACTR10	actin related protein 10	55860		
HGNC:24027	Approved	ACTRT1	actin related protein T1	139741		300487
HGNC:24026	Approved	ACTRT2	actin related protein T2	140625		608535
